Uraian,Satuan,2023,Ket
Luas Lahan Sawah Beririgasi,Ha,1017.00,
Luas Lahan Sawah Tadah Hujan,Ha,246.00,
Luas Lahan Kering Kebun,Ha,3197.00,
Luas Lahan Kering Ladang,Ha,2013.00,
Jumlah Produksi Padi,Ton,9498.07,
Jumlah Produksi Jagung,Ton,132.3,
Jumlah Produksi Buah Kecamatan Lubuklinggau Timur I,Ton,250,
Jumlah Produksi Buah Kecamatan Lubuklinggau Timur II,Ton,450,
Jumlah Produksi Buah Kecamatan Lubuklinggau Barat I,Ton,780,
Jumlah Produksi Buah Kecamatan Lubuklinggau Barat II,Ton,750,
Jumlah Produksi Buah Kecamatan Lubuklinggau Selatan I,Ton,950,
Jumlah Produksi Buah Kecamatan Lubuklinggau Selatan II,Ton,455,
Jumlah Produksi Buah Kecamatan Lubuklinggau Utara I,Ton,900,
Jumlah Produksi Buah Kecamatan Lubuklinggau Utara II,Ton,220,
Jumlah Produksi Sayuran Kecamatan Lubuklinggau Timur I,Ton,15,
Jumlah Produksi Sayuran Kecamatan Lubuklinggau Timur II,Ton,20,
Jumlah Produksi Sayuran Kecamatan Lubuklinggau Barat I,Ton,120,
Jumlah Produksi Sayuran Kecamatan Lubuklinggau Barat II,Ton,120,
Jumlah Produksi Sayuran Kecamatan Lubuklinggau Selatan I,Ton,65,
Jumlah Produksi Sayuran Kecamatan Lubuklinggau Selatan II,Ton,100,
Jumlah Produksi Sayuran Kecamatan Lubuklinggau Utara I,Ton,195,
Jumlah Produksi Sayuran Kecamatan Lubuklinggau Utara II,Ton,25,
Jumlah Produksi Obat Nabati Kecamatan Lubuklinggau Timur I,Ton,1,
Jumlah Produksi Obat Nabati Kecamatan Lubuklinggau Timur II,Ton,1,
Jumlah Produksi Obat Nabati Kecamatan Lubuklinggau Barat I,Ton,30,
Jumlah Produksi Obat Nabati Kecamatan Lubuklinggau Barat II,Ton,10,
Jumlah Produksi Obat Nabati Kecamatan Lubuklinggau Selatan I,Ton,71,
Jumlah Produksi Obat Nabati Kecamatan Lubuklinggau Selatan II,Ton,20,
Jumlah Produksi Obat Nabati Kecamatan Lubuklinggau Utara I,Ton,7,
Jumlah Produksi Obat Nabati Kecamatan Lubuklinggau Utara II,Ton,2,
Jumlah Populasi Ternak Ayam Kecamatan Lubuklinggau Timur I,Ekor,5000,
Jumlah Populasi Ternak Ayam Kecamatan Lubuklinggau Timur II,Ekor,7800,
Jumlah Populasi Ternak Ayam Kecamatan Lubuklinggau Barat I,Ekor,7300,
Jumlah Populasi Ternak Ayam Kecamatan Lubuklinggau Barat II,Ekor,4500,
Jumlah Populasi Ternak Ayam Kecamatan Lubuklinggau Selatan I,Ekor,9740,
Jumlah Populasi Ternak Ayam Kecamatan Lubuklinggau Selatan II,Ekor,9920,
Jumlah Populasi Ternak Ayam Kecamatan Lubuklinggau Utara I,Ekor,8740,
Jumlah Populasi Ternak Ayam Kecamatan Lubuklinggau Utara II,Ekor,8850,
Jumlah Populasi Ternak Itik Kecamatan Lubuklinggau Timur I,Ekor,1350,
Jumlah Populasi Ternak Itik Kecamatan Lubuklinggau Timur II,Ekor,1600,
Jumlah Populasi Ternak Itik Kecamatan Lubuklinggau Barat I,Ekor,1550,
Jumlah Populasi Ternak Itik Kecamatan Lubuklinggau Barat II,Ekor,1150,
Jumlah Populasi Ternak Itik Kecamatan Lubuklinggau Selatan I,Ekor,2100,
Jumlah Populasi Ternak Itik Kecamatan Lubuklinggau Selatan II,Ekor,2300,
Jumlah Populasi Ternak Itik Kecamatan Lubuklinggau Utara I,Ekor,2100,
Jumlah Populasi Ternak Itik Kecamatan Lubuklinggau Utara II,Ekor,2300,
