Uraian,Satuan,2023
Luas Lahan Sawah Beririgasi,Ha,1017.0
Luas Lahan Sawah Tadah Hujan,Ha,246.0
Luas Lahan Kering Kebun,Ha,3197.0
Luas Lahan Kering Ladang,Ha,2013.0
Jumlah Produksi Padi,Ton,9498.07
Jumlah Produksi Jagung,Ton,132.3
Jumlah Produksi Buah Kecamatan Lubuklinggau Timur I,Ton,250.0
Jumlah Produksi Buah Kecamatan Lubuklinggau Timur II,Ton,450.0
Jumlah Produksi Buah Kecamatan Lubuklinggau Barat I,Ton,780.0
Jumlah Produksi Buah Kecamatan Lubuklinggau Barat II,Ton,750.0
Jumlah Produksi Buah Kecamatan Lubuklinggau Selatan I,Ton,950.0
Jumlah Produksi Buah Kecamatan Lubuklinggau Selatan II,Ton,455.0
Jumlah Produksi Buah Kecamatan Lubuklinggau Utara I,Ton,900.0
Jumlah Produksi Buah Kecamatan Lubuklinggau Utara II,Ton,220.0
Jumlah Produksi Sayuran Kecamatan Lubuklinggau Timur I,Ton,15.0
Jumlah Produksi Sayuran Kecamatan Lubuklinggau Timur II,Ton,20.0
Jumlah Produksi Sayuran Kecamatan Lubuklinggau Barat I,Ton,120.0
Jumlah Produksi Sayuran Kecamatan Lubuklinggau Barat II,Ton,120.0
Jumlah Produksi Sayuran Kecamatan Lubuklinggau Selatan I,Ton,65.0
Jumlah Produksi Sayuran Kecamatan Lubuklinggau Selatan II,Ton,100.0
Jumlah Produksi Sayuran Kecamatan Lubuklinggau Utara I,Ton,195.0
Jumlah Produksi Sayuran Kecamatan Lubuklinggau Utara II,Ton,25.0
Jumlah Produksi Obat Nabati Kecamatan Lubuklinggau Timur I,Ton,1.0
Jumlah Produksi Obat Nabati Kecamatan Lubuklinggau Timur II,Ton,1.0
Jumlah Produksi Obat Nabati Kecamatan Lubuklinggau Barat I,Ton,30.0
Jumlah Produksi Obat Nabati Kecamatan Lubuklinggau Barat II,Ton,10.0
Jumlah Produksi Obat Nabati Kecamatan Lubuklinggau Selatan I,Ton,71.0
Jumlah Produksi Obat Nabati Kecamatan Lubuklinggau Selatan II,Ton,20.0
Jumlah Produksi Obat Nabati Kecamatan Lubuklinggau Utara I,Ton,7.0
Jumlah Produksi Obat Nabati Kecamatan Lubuklinggau Utara II,Ton,2.0
Jumlah Populasi Ternak Ayam Kecamatan Lubuklinggau Timur I,Ekor,5000.0
Jumlah Populasi Ternak Ayam Kecamatan Lubuklinggau Timur II,Ekor,7800.0
Jumlah Populasi Ternak Ayam Kecamatan Lubuklinggau Barat I,Ekor,7300.0
Jumlah Populasi Ternak Ayam Kecamatan Lubuklinggau Barat II,Ekor,4500.0
Jumlah Populasi Ternak Ayam Kecamatan Lubuklinggau Selatan I,Ekor,9740.0
Jumlah Populasi Ternak Ayam Kecamatan Lubuklinggau Selatan II,Ekor,9920.0
Jumlah Populasi Ternak Ayam Kecamatan Lubuklinggau Utara I,Ekor,8740.0
Jumlah Populasi Ternak Ayam Kecamatan Lubuklinggau Utara II,Ekor,8850.0
Jumlah Populasi Ternak Itik Kecamatan Lubuklinggau Timur I,Ekor,1350.0
Jumlah Populasi Ternak Itik Kecamatan Lubuklinggau Timur II,Ekor,1600.0
Jumlah Populasi Ternak Itik Kecamatan Lubuklinggau Barat I,Ekor,1550.0
Jumlah Populasi Ternak Itik Kecamatan Lubuklinggau Barat II,Ekor,1150.0
Jumlah Populasi Ternak Itik Kecamatan Lubuklinggau Selatan I,Ekor,2100.0
Jumlah Populasi Ternak Itik Kecamatan Lubuklinggau Selatan II,Ekor,2300.0
Jumlah Populasi Ternak Itik Kecamatan Lubuklinggau Utara I,Ekor,2100.0
Jumlah Populasi Ternak Itik Kecamatan Lubuklinggau Utara II,Ekor,2300.0
